expected_sentences,expected_stories,media_id,num_sentences,num_stories,stat_week
149071.02,996.95,2,9482.29,242.57,2012-05-07 00:00:00-04:00
149071.02,996.95,2,9271.43,229.86,2012-05-14 00:00:00-04:00
149071.02,996.95,2,7630.57,230.57,2012-05-21 00:00:00-04:00
149071.02,996.95,2,6689.86,209.86,2012-05-28 00:00:00-04:00
149071.02,996.95,2,8744,262.86,2012-06-04 00:00:00-04:00
149071.02,996.95,2,8170,245.71,2012-06-11 00:00:00-04:00
149071.02,996.95,2,8454.71,262.57,2012-06-18 00:00:00-04:00
149071.02,996.95,2,6774.86,236.43,2012-06-25 00:00:00-04:00
149071.02,996.95,2,3592.29,186,2012-07-02 00:00:00-04:00
149071.02,996.95,2,4357.29,233.57,2012-07-09 00:00:00-04:00
149071.02,996.95,2,3815.57,189,2012-07-16 00:00:00-04:00
149071.02,996.95,2,5025.14,244.29,2012-07-23 00:00:00-04:00
149071.02,996.95,2,8898,246.43,2012-07-30 00:00:00-04:00
149071.02,996.95,2,11693.43,277.29,2012-08-06 00:00:00-04:00
149071.02,996.95,2,9611.86,238,2012-08-13 00:00:00-04:00
149071.02,996.95,2,10373.71,257.71,2012-08-20 00:00:00-04:00
149071.02,996.95,2,20310.14,303.71,2012-08-27 00:00:00-04:00
149071.02,996.95,2,13038.57,368.71,2012-09-03 00:00:00-04:00
149071.02,996.95,2,17263.29,417.14,2012-09-10 00:00:00-04:00
149071.02,996.95,2,13103.86,399.57,2012-09-17 00:00:00-04:00
149071.02,996.95,2,9959.57,248.14,2012-09-24 00:00:00-04:00
149071.02,996.95,2,5654.71,195.14,2012-10-01 00:00:00-04:00
149071.02,996.95,2,13577.71,215.43,2012-10-08 00:00:00-04:00
149071.02,996.95,2,6818,205.57,2012-10-15 00:00:00-04:00
149071.02,996.95,2,7347.57,211.71,2012-10-22 00:00:00-04:00
149071.02,996.95,2,6561.71,177.57,2012-10-29 00:00:00-04:00
149071.02,996.95,2,6594.86,198.57,2012-11-05 00:00:00-05:00
149071.02,996.95,2,7764.57,185.57,2012-11-12 00:00:00-05:00
149071.02,996.95,2,5294.57,131.43,2012-11-19 00:00:00-05:00
149071.02,996.95,2,5643.14,144.71,2012-11-26 00:00:00-05:00
149071.02,996.95,2,6458.43,173.71,2012-12-03 00:00:00-05:00
149071.02,996.95,2,6570.71,161.57,2012-12-10 00:00:00-05:00
149071.02,996.95,2,6288.29,158.14,2012-12-17 00:00:00-05:00
149071.02,996.95,2,3907.57,91.71,2012-12-24 00:00:00-05:00
149071.02,996.95,2,5911.29,134.14,2012-12-31 00:00:00-05:00
149071.02,996.95,2,6316.29,159.86,2013-01-07 00:00:00-05:00
149071.02,996.95,2,6256.71,182.14,2013-01-14 00:00:00-05:00
149071.02,996.95,2,6655.71,167.71,2013-01-21 00:00:00-05:00
149071.02,996.95,2,6718,169.14,2013-01-28 00:00:00-05:00
149071.02,996.95,2,6579.71,165,2013-02-04 00:00:00-05:00
149071.02,996.95,2,6326.71,177,2013-02-11 00:00:00-05:00
149071.02,996.95,2,5229.29,155.57,2013-02-18 00:00:00-05:00
149071.02,996.95,2,6562.29,172.29,2013-02-25 00:00:00-05:00
149071.02,996.95,2,6883.14,159.86,2013-03-04 00:00:00-05:00
149071.02,996.95,2,6726.86,187.14,2013-03-11 00:00:00-04:00
149071.02,996.95,2,7128.14,180.57,2013-03-18 00:00:00-04:00
149071.02,996.95,2,7104.71,176.29,2013-03-25 00:00:00-04:00
149071.02,996.95,2,6612.43,173.57,2013-04-01 00:00:00-04:00
149071.02,996.95,2,6437.71,181.71,2013-04-08 00:00:00-04:00
149071.02,996.95,2,6932.29,187.14,2013-04-15 00:00:00-04:00
149071.02,996.95,2,10384.14,187,2013-04-22 00:00:00-04:00
149071.02,996.95,2,7597.86,174.14,2013-04-29 00:00:00-04:00
149071.02,996.95,2,6476.43,177.14,2013-05-06 00:00:00-04:00
149071.02,996.95,2,6929.57,192,2013-05-13 00:00:00-04:00
149071.02,996.95,2,13601.43,225.57,2013-05-20 00:00:00-04:00
149071.02,996.95,2,14846.29,274.29,2013-05-27 00:00:00-04:00
149071.02,996.95,2,20913.43,330,2013-06-03 00:00:00-04:00
149071.02,996.95,2,12296,322.29,2013-06-17 00:00:00-04:00
149071.02,996.95,2,13344.86,343.29,2013-06-24 00:00:00-04:00
149071.02,996.95,2,9944.14,257,2013-07-01 00:00:00-04:00
149071.02,996.95,2,8890.86,303.86,2013-07-08 00:00:00-04:00
149071.02,996.95,2,17612.43,333.14,2013-07-15 00:00:00-04:00
149071.02,996.95,2,9409.29,318.43,2013-07-22 00:00:00-04:00
149071.02,996.95,2,9999.71,299.71,2013-07-29 00:00:00-04:00
149071.02,996.95,2,13063,292.57,2013-08-05 00:00:00-04:00
149071.02,996.95,2,8662.86,271.71,2013-08-12 00:00:00-04:00
149071.02,996.95,2,14873.29,297.86,2013-08-19 00:00:00-04:00
149071.02,996.95,2,16761.71,388.86,2013-08-26 00:00:00-04:00
149071.02,996.95,2,8551.43,274.14,2013-09-02 00:00:00-04:00
149071.02,996.95,2,9261.57,322.43,2013-09-09 00:00:00-04:00
149071.02,996.95,2,8361.57,322.57,2013-09-16 00:00:00-04:00
149071.02,996.95,2,24823,321.71,2013-09-23 00:00:00-04:00
149071.02,996.95,2,9970.71,330.29,2013-09-30 00:00:00-04:00
149071.02,996.95,2,8850.57,306.57,2013-10-07 00:00:00-04:00
149071.02,996.95,2,9181.43,273.57,2013-10-14 00:00:00-04:00
149071.02,996.95,2,8804,266.57,2013-10-21 00:00:00-04:00
149071.02,996.95,2,8782,269,2013-10-28 00:00:00-04:00
149071.02,996.95,2,7518,257.57,2013-11-04 00:00:00-05:00
149071.02,996.95,2,7477.71,271.43,2013-11-11 00:00:00-05:00
149071.02,996.95,2,8718.71,291.14,2013-11-18 00:00:00-05:00
149071.02,996.95,2,8197.57,213.43,2013-11-25 00:00:00-05:00
149071.02,996.95,2,8163.43,266.71,2013-12-02 00:00:00-05:00
149071.02,996.95,2,10114.71,273.57,2013-12-09 00:00:00-05:00
149071.02,996.95,2,8063.57,244.43,2013-12-16 00:00:00-05:00
149071.02,996.95,2,4779.71,142,2013-12-23 00:00:00-05:00
149071.02,996.95,2,6698.57,185.43,2013-12-30 00:00:00-05:00
149071.02,996.95,2,10000,267.14,2014-01-06 00:00:00-05:00
149071.02,996.95,2,9170.71,270.71,2014-01-13 00:00:00-05:00
149071.02,996.95,2,9833.57,252.71,2014-01-20 00:00:00-05:00
149071.02,996.95,2,10482,294.43,2014-01-27 00:00:00-05:00
149071.02,996.95,2,9157.29,285.29,2014-02-03 00:00:00-05:00
149071.02,996.95,2,10047.86,274.57,2014-02-10 00:00:00-05:00
149071.02,996.95,2,8454,270.86,2014-02-17 00:00:00-05:00
149071.02,996.95,2,9726.14,283.29,2014-02-24 00:00:00-05:00
149071.02,996.95,2,9364.71,299,2014-03-03 00:00:00-05:00
149071.02,996.95,2,11082.71,299.86,2014-03-10 00:00:00-04:00
149071.02,996.95,2,9915.57,305.29,2014-03-17 00:00:00-04:00
149071.02,996.95,2,9767.86,288,2014-03-24 00:00:00-04:00
149071.02,996.95,2,10838.71,295.14,2014-03-31 00:00:00-04:00
149071.02,996.95,2,11369.57,303.43,2014-04-07 00:00:00-04:00
149071.02,996.95,2,9013.86,269.29,2014-04-14 00:00:00-04:00
149071.02,996.95,2,9717.71,314.57,2014-04-21 00:00:00-04:00
149071.02,996.95,2,12043.71,331.71,2014-04-28 00:00:00-04:00
149071.02,996.95,2,10275.14,324.57,2014-05-05 00:00:00-04:00
149071.02,996.95,2,10866.86,328.14,2014-05-12 00:00:00-04:00
149071.02,996.95,2,9913.29,311.29,2014-05-19 00:00:00-04:00
149071.02,996.95,2,11629.14,284.14,2014-05-26 00:00:00-04:00
149071.02,996.95,2,11352.71,335.57,2014-06-02 00:00:00-04:00
149071.02,996.95,2,13273.43,337.57,2014-06-09 00:00:00-04:00
149071.02,996.95,2,11115.29,321.43,2014-06-16 00:00:00-04:00
149071.02,996.95,2,12023.57,336.57,2014-06-23 00:00:00-04:00
149071.02,996.95,2,10214,287.86,2014-06-30 00:00:00-04:00
149071.02,996.95,2,11415.57,333.29,2014-07-07 00:00:00-04:00
149071.02,996.95,2,24867.29,367.71,2014-07-14 00:00:00-04:00
149071.02,996.95,2,10207.71,339.71,2014-07-21 00:00:00-04:00
149071.02,996.95,2,11273.86,336.57,2014-07-28 00:00:00-04:00
149071.02,996.95,2,12393,364.14,2014-08-04 00:00:00-04:00
149071.02,996.95,2,11444,324.29,2014-08-11 00:00:00-04:00
149071.02,996.95,2,11806.86,308.71,2014-08-18 00:00:00-04:00
149071.02,996.95,2,10467.14,316,2014-08-25 00:00:00-04:00
149071.02,996.95,2,11342.86,313.43,2014-09-01 00:00:00-04:00
149071.02,996.95,2,13181.86,356.86,2014-09-08 00:00:00-04:00
149071.02,996.95,2,13748.29,367,2014-09-15 00:00:00-04:00
149071.02,996.95,2,14547.43,362.29,2014-09-22 00:00:00-04:00
149071.02,996.95,2,13157,368.29,2014-09-29 00:00:00-04:00
149071.02,996.95,2,13454,362.14,2014-10-06 00:00:00-04:00
149071.02,996.95,2,13205.86,364.43,2014-10-13 00:00:00-04:00
149071.02,996.95,2,13456.14,363,2014-10-20 00:00:00-04:00
149071.02,996.95,2,14094.14,367.71,2014-10-27 00:00:00-04:00
149071.02,996.95,2,13848.57,359.14,2014-11-03 00:00:00-05:00
149071.02,996.95,2,13272.86,353.71,2014-11-10 00:00:00-05:00
149071.02,996.95,2,16057.71,355.57,2014-11-17 00:00:00-05:00
149071.02,996.95,2,9807.43,263.29,2014-11-24 00:00:00-05:00
149071.02,996.95,2,12358.71,343.43,2014-12-01 00:00:00-05:00
149071.02,996.95,2,12631.86,328.43,2014-12-08 00:00:00-05:00
149071.02,996.95,2,11871.29,332.43,2014-12-15 00:00:00-05:00
149071.02,996.95,2,9496.71,203.14,2014-12-22 00:00:00-05:00
149071.02,996.95,2,8557.43,230.71,2014-12-29 00:00:00-05:00
149071.02,996.95,2,14950.29,398.86,2015-01-05 00:00:00-05:00
149071.02,996.95,2,15485.29,351.86,2015-01-12 00:00:00-05:00
149071.02,996.95,2,13453.29,332.57,2015-01-19 00:00:00-05:00
149071.02,996.95,2,13368.14,335.57,2015-01-26 00:00:00-05:00
149071.02,996.95,2,13090,343,2015-02-02 00:00:00-05:00
149071.02,996.95,2,15316.57,343.29,2015-02-09 00:00:00-05:00
