expected_sentences,expected_stories,media_id,num_sentences,num_stories,stat_week
91411.6,492.09,1,17713.29,381.43,2013-06-17 00:00:00-04:00
91411.6,492.09,1,20269.29,323.43,2013-07-01 00:00:00-04:00
91411.6,492.09,1,10591.57,316.29,2013-08-12 00:00:00-04:00
91411.6,492.09,1,8492.71,309.14,2013-08-19 00:00:00-04:00
91411.6,492.09,1,7745.86,287.43,2013-08-26 00:00:00-04:00
91411.6,492.09,1,7888.43,316.43,2013-09-02 00:00:00-04:00
91411.6,492.09,1,9055,329.57,2013-09-09 00:00:00-04:00
91411.6,492.09,1,8213.14,330.14,2013-09-16 00:00:00-04:00
91411.6,492.09,1,8562.57,331.71,2013-09-23 00:00:00-04:00
91411.6,492.09,1,8138.14,329.43,2013-09-30 00:00:00-04:00
91411.6,492.09,1,8422.86,314.86,2013-10-07 00:00:00-04:00
91411.6,492.09,1,7417,307.43,2013-10-14 00:00:00-04:00
91411.6,492.09,1,7887,317.86,2013-10-21 00:00:00-04:00
91411.6,492.09,1,7986.14,321.14,2013-10-28 00:00:00-04:00
91411.6,492.09,1,8153.14,323.14,2013-11-04 00:00:00-05:00
91411.6,492.09,1,8344.43,330.29,2013-11-11 00:00:00-05:00
91411.6,492.09,1,9195.43,342,2013-11-18 00:00:00-05:00
91411.6,492.09,1,7912.43,312.86,2013-11-25 00:00:00-05:00
91411.6,492.09,1,7744.14,342.29,2013-12-02 00:00:00-05:00
91411.6,492.09,1,8031.29,346.57,2013-12-09 00:00:00-05:00
91411.6,492.09,1,7149.29,340.71,2013-12-16 00:00:00-05:00
91411.6,492.09,1,5723.14,263.29,2013-12-23 00:00:00-05:00
91411.6,492.09,1,6461,316.14,2013-12-30 00:00:00-05:00
91411.6,492.09,1,12291.57,384.86,2014-01-06 00:00:00-05:00
91411.6,492.09,1,13000.43,408.57,2014-01-13 00:00:00-05:00
91411.6,492.09,1,12212.86,395.57,2014-01-20 00:00:00-05:00
91411.6,492.09,1,14050.71,399.71,2014-01-27 00:00:00-05:00
91411.6,492.09,1,14128.71,403.14,2014-02-03 00:00:00-05:00
91411.6,492.09,1,12884.29,367.43,2014-02-10 00:00:00-05:00
91411.6,492.09,1,12572.29,324,2014-02-17 00:00:00-05:00
91411.6,492.09,1,12556.71,347.86,2014-02-24 00:00:00-05:00
91411.6,492.09,1,12812.71,366.14,2014-03-03 00:00:00-05:00
91411.6,492.09,1,13534,363.57,2014-03-10 00:00:00-04:00
91411.6,492.09,1,13557.86,359.71,2014-03-17 00:00:00-04:00
91411.6,492.09,1,13588.29,359.86,2014-03-31 00:00:00-04:00
91411.6,492.09,1,14137.57,356,2014-04-07 00:00:00-04:00
91411.6,492.09,1,12675.71,318.43,2014-04-14 00:00:00-04:00
91411.6,492.09,1,14545.71,353.71,2014-04-21 00:00:00-04:00
91411.6,492.09,1,13020.57,344.43,2014-04-28 00:00:00-04:00
91411.6,492.09,1,13406,345.57,2014-05-05 00:00:00-04:00
91411.6,492.09,1,14567.71,353.43,2014-05-12 00:00:00-04:00
91411.6,492.09,1,12810.29,342.57,2014-05-19 00:00:00-04:00
91411.6,492.09,1,15754.86,327.29,2014-05-26 00:00:00-04:00
91411.6,492.09,1,13962.29,341.43,2014-06-02 00:00:00-04:00
91411.6,492.09,1,15506.14,358.71,2014-06-09 00:00:00-04:00
