expected_sentences,expected_stories,media_id,num_sentences,num_stories,stat_week
149229.68,997.06,2,9482.29,242.57,2012-05-07 00:00:00-04:00
149229.68,997.06,2,9324.86,229.86,2012-05-14 00:00:00-04:00
149229.68,997.06,2,7630.57,230.57,2012-05-21 00:00:00-04:00
149229.68,997.06,2,6698.14,209.86,2012-05-28 00:00:00-04:00
149229.68,997.06,2,8757.43,262.86,2012-06-04 00:00:00-04:00
149229.68,997.06,2,8189.71,245.71,2012-06-11 00:00:00-04:00
149229.68,997.06,2,8454.71,262.57,2012-06-18 00:00:00-04:00
149229.68,997.06,2,6778.57,236.43,2012-06-25 00:00:00-04:00
149229.68,997.06,2,3592.29,186,2012-07-02 00:00:00-04:00
149229.68,997.06,2,4357.29,233.57,2012-07-09 00:00:00-04:00
149229.68,997.06,2,3815.57,189,2012-07-16 00:00:00-04:00
149229.68,997.06,2,5025.14,244.29,2012-07-23 00:00:00-04:00
149229.68,997.06,2,8903.29,246.43,2012-07-30 00:00:00-04:00
149229.68,997.06,2,11693.43,277.29,2012-08-06 00:00:00-04:00
149229.68,997.06,2,9611.86,238,2012-08-13 00:00:00-04:00
149229.68,997.06,2,10373.71,257.71,2012-08-20 00:00:00-04:00
149229.68,997.06,2,20463.29,303.71,2012-08-27 00:00:00-04:00
149229.68,997.06,2,13041.57,368.71,2012-09-03 00:00:00-04:00
149229.68,997.06,2,17271.29,417.29,2012-09-10 00:00:00-04:00
149229.68,997.06,2,13103.86,399.57,2012-09-17 00:00:00-04:00
149229.68,997.06,2,9959.57,248.14,2012-09-24 00:00:00-04:00
149229.68,997.06,2,5654.71,195.14,2012-10-01 00:00:00-04:00
149229.68,997.06,2,14060.14,215.43,2012-10-08 00:00:00-04:00
149229.68,997.06,2,6819.43,205.71,2012-10-15 00:00:00-04:00
149229.68,997.06,2,7347.57,211.71,2012-10-22 00:00:00-04:00
149229.68,997.06,2,6561.71,177.57,2012-10-29 00:00:00-04:00
