stories_id,tag,tag_set,tag_sets_id,tags_id
24836006,geonames_2635167,mc-geocoder@media.mit.edu,1011,8878466
24836006,geonames_6269131,mc-geocoder@media.mit.edu,1011,8878467
24836006,readability-lxml-0.3.0.5,extractor_version,1354,8929188
24836007,geonames_6252001,mc-geocoder@media.mit.edu,1011,8878461
24836007,geonames_5815135,mc-geocoder@media.mit.edu,1011,8878481
24836007,readability-lxml-0.3.0.5,extractor_version,1354,8929188
24836008,geonames_2782113,mc-geocoder@media.mit.edu,1011,8878474
24836008,geonames_2770542,mc-geocoder@media.mit.edu,1011,8878475
24836008,readability-lxml-0.3.0.5,extractor_version,1354,8929188
24836009,geonames_6252001,mc-geocoder@media.mit.edu,1011,8878461
24836009,geonames_4361885,mc-geocoder@media.mit.edu,1011,8878524
24836009,readability-lxml-0.3.0.5,extractor_version,1354,8929188
24836010,geonames_6252001,mc-geocoder@media.mit.edu,1011,8878461
24836010,geonames_4155751,mc-geocoder@media.mit.edu,1011,8878477
24836010,readability-lxml-0.3.0.5,extractor_version,1354,8929188
24836012,readability-lxml-0.3.0.5,extractor_version,1354,8929188
24836013,geonames_6252001,mc-geocoder@media.mit.edu,1011,8878461
24836013,geonames_4896861,mc-geocoder@media.mit.edu,1011,8878482
24836013,readability-lxml-0.3.0.5,extractor_version,1354,8929188
24836014,readability-lxml-0.3.0.5,extractor_version,1354,8929188
24836015,geonames_6252001,mc-geocoder@media.mit.edu,1011,8878461
24836015,geonames_5815135,mc-geocoder@media.mit.edu,1011,8878481
24836015,readability-lxml-0.3.0.5,extractor_version,1354,8929188
24836155,geonames_6252001,mc-geocoder@media.mit.edu,1011,8878461
24836155,geonames_5128638,mc-geocoder@media.mit.edu,1011,8878463
24836155,readability-lxml-0.3.0.5,extractor_version,1354,8929188
