stories_id,count,stem,term
24836006,2,auster,austerity
24836006,1,democrat,democrat
24836006,1,andrew,andrew
24836006,1,nick,nick
24836006,3,cameron,cameron
24836006,2,upper-incom,upper-income
24836006,1,hampstead,hampstead
24836006,1,quandari,quandary
24836006,1,fring,fringe
24836006,2,deficit,deficit
24836006,1,subsid,subsidize
24836006,1,long-establish,long-established
24836006,1,inflat,inflation
24836006,1,palpabl,palpable
24836006,1,reluct,reluctantly
24836006,1,nolan,nolan
24836006,3,europ,europe
24836006,1,tes,testa
24836006,1,taxpay,taxpayers
24836006,1,cake,cake
24836006,1,tv,tv
24836006,3,welfar,welfare
24836006,2,cautious,cautiously
24836006,1,the,the
24836006,1,oscar,oscar
24836006,1,public-sector,public-sector
24836006,1,ii,ii
24836006,1,clare,clare
24836006,1,leafi,leafy
24836006,1,complimentari,complimentary
24836006,1,means-test,means-testing
24836006,1,freelanc,freelance
24836006,1,loath,loath
24836006,1,mortgag,mortgage
24836006,1,deleg,delegates
24836006,2,briton,britons
24836006,7,britain,britain
24836006,2,needi,needy
24836006,1,deduct,deduction
24836006,2,walker,walker
24836006,1,lancast,lancaster
24836006,2,affluent,affluent
24836006,1,well-to-do,well-to-do
24836006,2,unemploy,unemployment
24836006,1,patrick,patrick
24836006,11,child,child
24836006,1,coalit,coalition
24836006,2,middle-,middle-
24836006,1,highlight,highlights
24836006,3,pension,pensions
24836006,1,programm,programmer
24836006,1,david,david
24836006,1,sacrosanct,sacrosanct
24836006,4,tax,tax
24836006,1,clegg,clegg
24836006,1,culmin,culminate
24836006,1,bloc,bloc
24836006,7,children,children
24836006,1,luxembourg,luxembourg
24836006,1,debt,debt
24836006,1,fare,fare
24836006,1,corpor,corporate
24836006,1,largess,largess
24836006,1,stark,stark
24836006,1,drastic,drastically
24836006,1,spike,spike
24836006,1,heath,heath
24836006,5,british,british
24836006,3,elder,elderly
24836006,2,ireland,ireland
24836006,3,london,london
24836006,1,trail,trailing
24836006,1,dig,dig
