count,tag_sets_id,label,tag,tags_id
91,1354,,readability-lxml-0.6.2,9325058
59,1011,United States,geonames_6252001,8878461
43,183,,spidered,8875452
33,1937,cliff_clavin_v2.3.0,cliff_clavin_v2.3.0,9353691
31,1964,nyt_labeller_v1.0.0,nyt_labeller_v1.0.0,9360669
30,508,,guess_by_url_and_date_text,8875823
22,1011,New York,geonames_5128638,8878463
22,1963,politics and government,politics and government,9360836
18,1839,,all,9274416
15,1963,united states politics and government,united states politics and government,9360846
12,1937,cliff_clavin_v2.4.1,cliff_clavin_v2.4.1,9696677
8,1963,elections,elections,9360851
8,508,,source_link,8875825
7,1011,Ohio,geonames_5165418,8878703
7,1354,,readability-lxml-0.3.0.5,8929188
7,1011,Utah,geonames_5549030,8878632
6,2389,Donald Trump,Donald Trump,9362284
6,1732,,all,9188661
5,1011,Florida,geonames_4155751,8878477
5,1011,California,geonames_5332921,8878533
5,2388,Trump,Trump,9362787
5,1011,Iowa,geonames_4862182,8878998
5,1963,terrorism,terrorism,9360900
5,1963,"armament, defense and military forces","armament, defense and military forces",9360868
4,508,,guess_by_og_article_published_time,8877815
4,1963,finances,finances,9360840
4,1011,North Carolina,geonames_4482348,8878553
4,1963,international relations,international relations,9360934
4,1789,,all,9238242
4,1837,,all,9268175
4,2389,Obama,Obama,9362721
4,1011,Pennsylvania,geonames_6254927,8878566
4,1011,Texas,geonames_4736286,8878538
4,1963,united states international relations,united states international relations,9360933
4,2389,Trump,Trump,9362872
3,1963,law and legislation,law and legislation,9360837
3,1963,presidents and presidency (us),presidents and presidency (us),9360853
3,2388,Facebook,Facebook,9362725
3,2388,New York Times,New York Times,9362756
3,1963,united states armament and defense,united states armament and defense,9360930
3,1963,medicine and health,medicine and health,9360852
3,1963,blacks,blacks,9360863
3,1011,South Carolina,geonames_4597040,8878556
3,1892,,all,9329040
3,2389,Mike Pence,Mike Pence,9362945
3,1887,,all,9316517
3,2388,state,state,9363067
3,2389,Donald J. Trump,Donald J. Trump,9362749
3,2389,Hillary Clinton,Hillary Clinton,9362747
3,2389,Bernie Sanders,Bernie Sanders,9362750
3,1963,discrimination,discrimination,9360938
2,1963,ethics,ethics,9360915
2,1011,New York City,geonames_5128581,8878486
2,1866,,all,9312328
2,2388,Times,Times,9365707
2,2388,White House,White House,9362736
2,1011,Nevada,geonames_5509151,8879111
2,1011,Arizona,geonames_5551752,8878730
2,1963,news and news media,news and news media,9360885
2,2388,C.I.A.,C.I.A.,9363436
2,2388,Congress,Congress,9362962
2,2389,Jeff Sessions,Jeff Sessions,9363289
2,1011,England,geonames_6269131,8878467
2,2389,Tiffany,Tiffany,9375504
2,1011,Indiana,geonames_4921868,8878577
2,2388,National Security Agency,National Security Agency,9364270
2,1824,,all,9251608
2,2389,Edward J. Snowden,Edward J. Snowden,9467142
2,1963,taxation,taxation,9360882
2,1963,homosexuality,homosexuality,9360858
2,2388,Equitable,Equitable,9478444
2,2389,Ivana Trump,Ivana Trump,9379874
2,1963,housing,housing,9361048
2,2389,Doris Burke,Doris Burke,9491461
2,2388,Senate Armed Services Committee,Senate Armed Services Committee,9365061
2,1963,media,media,9360911
2,1011,Russian Federation,geonames_2017370,8878645
2,2389,Rodrigo Duterte,Rodrigo Duterte,9362296
2,2388,Trump International,Trump International,9366846
2,2388,Senate,Senate,9362741
2,1011,Colorado,geonames_5417618,8878696
2,2388,United Nations,United Nations,9362785
2,1011,Maryland,geonames_4361885,8878524
2,1835,,all,9267909
2,1011,New Hampshire,geonames_5090174,8879620
2,2388,Trump Organization,Trump Organization,9363373
1,1011,Las Vegas,geonames_5506956,8878898
1,2388,FBI,FBI,9362961
1,2389,Obamacare,Obamacare,9364793
1,1011,Benghazi,geonames_88319,8881598
1,1011,Nebraska,geonames_5073708,8879105
1,2389,Rania,Rania,9409495
1,2389,John McCain,John McCain,9362949
1,1011,Republic of Indonesia,geonames_1643084,8879351
1,2389,Susanne Craig,Susanne Craig,9429365
1,2389,Joe Arpaio,Joe Arpaio,9368370
1,2388,Wharton School,Wharton School,9377534
1,2389,Frank Williams,Frank Williams,10004923
1,2388,Yun Capital,Yun Capital,10066322
1,2389,Maria Alcivar,Maria Alcivar,9699906
1,2388,Medicare,Medicare,9364657
