date_range,count
2017-01-01T00:00:00Z,68469
2017-01-08T00:00:00Z,79842
2017-01-15T00:00:00Z,96504
2017-01-22T00:00:00Z,90998
2017-01-29T00:00:00Z,106848
2017-02-05T00:00:00Z,81378
2017-02-12T00:00:00Z,79530
2017-02-19T00:00:00Z,96287
2017-02-26T00:00:00Z,84990
2017-03-05T00:00:00Z,94761
2017-03-12T00:00:00Z,88332
2017-03-19T00:00:00Z,83553
2017-03-26T00:00:00Z,109417
2017-04-02T00:00:00Z,89690
2017-04-09T00:00:00Z,81867
2017-04-16T00:00:00Z,88516
2017-04-23T00:00:00Z,93499
2017-04-30T00:00:00Z,105515
2017-05-07T00:00:00Z,105253
2017-05-14T00:00:00Z,106425
2017-05-21T00:00:00Z,108314
2017-05-28T00:00:00Z,129049
2017-06-04T00:00:00Z,102539
2017-06-11T00:00:00Z,100473
2017-06-18T00:00:00Z,92274
2017-06-25T00:00:00Z,105287
