label,description,is_static,show_on_media,show_on_stories,tag,tag_set_description,tag_set_label,tag_set_name,tag_sets_id,tags_id
U.S. Mainstream Media,Top U.S. mainstream media according Google Ad Planner's measure of unique monthly users. Created in October 2010.,1,1,,U.S. Mainstream Media,,,usnewspapercirculation,3,5
Technorati U.S. Political Blogs 2008 ,List of top U.S. politics blogs according to Technorati in 2008.,0,1,,technorati_top_political_2008,"Curated collections of media sources.  This is our primary way of organizing our media sources -- almost every media source in our system is a member of one or more of these curated collections.  Some collections are manually curated, and others are generated using quantitative metrics.",Collections,collection,5,117
Yahoo U.S. Political Blogs 2008 ,Yahoo U.S. Political Blogs 2008 List of top U.S. politics blogs according to Yahoo in 2008.,0,1,,yahoo_top_political_2008,"Curated collections of media sources.  This is our primary way of organizing our media sources -- almost every media source in our system is a member of one or more of these curated collections.  Some collections are manually curated, and others are generated using quantitative metrics.",Collections,collection,5,118
U.S. Campaigns and Elections 2008,"List of sites related to U.S. politics, created for Yochai Benkler and Aaron Shaw's paper ""A Tale of Two Blogospheres: Discursive Practices on the Left and Right"", published in 2010.
",0,1,,campaignsandelections_political_2008,"Curated collections of media sources.  This is our primary way of organizing our media sources -- almost every media source in our system is a member of one or more of these curated collections.  Some collections are manually curated, and others are generated using quantitative metrics.",Collections,collection,5,125
U.S. Wire Services,"Reuters, AP, and McClatchy. Created in October 2010.",0,1,,major_american_wires,"Curated collections of media sources.  This is our primary way of organizing our media sources -- almost every media source in our system is a member of one or more of these curated collections.  Some collections are manually curated, and others are generated using quantitative metrics.",Collections,collection,5,129
U.S. Regional Mainstream Media,"Large list of regional TV and newspapers sites, collected by Pew in 2010.",0,1,,pew_knight_study,"Curated collections of media sources.  This is our primary way of organizing our media sources -- almost every media source in our system is a member of one or more of these curated collections.  Some collections are manually curated, and others are generated using quantitative metrics.",Collections,collection,5,2453107
U.S. Mainstream Media,Top U.S. mainstream media according Google Ad Planner's measure of unique monthly users. Created in October 2010.,1,1,,U.S. Mainstream Media,"Curated collections of media sources.  This is our primary way of organizing our media sources -- almost every media source in our system is a member of one or more of these curated collections.  Some collections are manually curated, and others are generated using quantitative metrics.",Collections,collection,5,8875027
U.S. Popular Blogs,Most popular U.S. blogs according to blogline's list of top blogs in 2009-10.,0,1,,bloglines_top1000_20091012,"Curated collections of media sources.  This is our primary way of organizing our media sources -- almost every media source in our system is a member of one or more of these curated collections.  Some collections are manually curated, and others are generated using quantitative metrics.",Collections,collection,5,8875028
Tech Blogs,Top 100 Tech blogs according to technorati in 2010-07.,0,1,,technorati_top_100_tech_21_july_2010,"Curated collections of media sources.  This is our primary way of organizing our media sources -- almost every media source in our system is a member of one or more of these curated collections.  Some collections are manually curated, and others are generated using quantitative metrics.",Collections,collection,5,8875033
Infotech Blogs,Top 100 Infotech blogs according to technorati in 2010-07.,0,1,,technorati_top_100_infotech_21_july_2010,"Curated collections of media sources.  This is our primary way of organizing our media sources -- almost every media source in our system is a member of one or more of these curated collections.  Some collections are manually curated, and others are generated using quantitative metrics.",Collections,collection,5,8875034
Technorati Tech Blogs,Top 100 tech blogs according to technorati in 2010.,0,1,,technorati_top_100_tech_2_dec_2010,"Curated collections of media sources.  This is our primary way of organizing our media sources -- almost every media source in our system is a member of one or more of these curated collections.  Some collections are manually curated, and others are generated using quantitative metrics.",Collections,collection,5,8875107
U.S. Political Blogs,"Most influential U.S. political blogs according to technorati in 2010-07, manually verified for focus on politics.",0,1,,technorati_uspolitics_20100709_coded,"Curated collections of media sources.  This is our primary way of organizing our media sources -- almost every media source in our system is a member of one or more of these curated collections.  Some collections are manually curated, and others are generated using quantitative metrics.",Collections,collection,5,8875108
U.S. Political Blogs - Liberal,"Most influential liberal U.S. political blogs according to technorati in 2010-07, manually verified for focus on politics and coded as liberal.",0,1,,technorati_uspolitics_20100709_ideology_left,"Curated collections of media sources.  This is our primary way of organizing our media sources -- almost every media source in our system is a member of one or more of these curated collections.  Some collections are manually curated, and others are generated using quantitative metrics.",Collections,collection,5,8875109
