expected_sentences,expected_stories,media_id,num_sentences,num_stories,stat_week
10107.86,148.5,10,2026.71,71.57,2011-01-10 00:00:00-05:00
10107.86,148.5,10,2218.14,75.71,2011-01-17 00:00:00-05:00
10107.86,148.5,10,2204.14,77.29,2011-01-24 00:00:00-05:00
10107.86,148.5,10,2425.29,80.43,2011-02-07 00:00:00-05:00
10107.86,148.5,10,2142.71,73.29,2011-02-14 00:00:00-05:00
10107.86,148.5,10,2011,68,2011-02-21 00:00:00-05:00
10107.86,148.5,10,2340.86,75.14,2011-02-28 00:00:00-05:00
10107.86,148.5,10,2227.86,72.43,2011-03-07 00:00:00-05:00
10107.86,148.5,10,1940.29,64.57,2011-03-14 00:00:00-04:00
10107.86,148.5,10,1976.71,68.43,2011-03-21 00:00:00-04:00
10107.86,148.5,10,2192.29,72.29,2011-03-28 00:00:00-04:00
10107.86,148.5,10,1973.86,64.57,2011-04-04 00:00:00-04:00
10107.86,148.5,10,2295.86,68,2011-04-11 00:00:00-04:00
10107.86,148.5,10,2077.57,65.71,2011-04-18 00:00:00-04:00
10107.86,148.5,10,2383.14,68.57,2011-04-25 00:00:00-04:00
10107.86,148.5,10,1739.57,65.14,2011-05-02 00:00:00-04:00
10107.86,148.5,10,1823,69.29,2011-05-09 00:00:00-04:00
10107.86,148.5,10,1866,72.14,2011-05-16 00:00:00-04:00
10107.86,148.5,10,1728.43,66.14,2011-05-23 00:00:00-04:00
10107.86,148.5,10,1809,67,2011-05-30 00:00:00-04:00
10107.86,148.5,10,1731,63,2011-06-06 00:00:00-04:00
10107.86,148.5,10,1818.14,61.86,2011-06-13 00:00:00-04:00
10107.86,148.5,10,1628,62,2011-06-20 00:00:00-04:00
10107.86,148.5,10,1792.43,64.71,2011-06-27 00:00:00-04:00
10107.86,148.5,10,1516.43,57.29,2011-07-04 00:00:00-04:00
10107.86,148.5,10,1493,58.14,2011-07-11 00:00:00-04:00
10107.86,148.5,10,1457.43,57.29,2011-07-18 00:00:00-04:00
10107.86,148.5,10,1715.43,64.14,2011-07-25 00:00:00-04:00
10107.86,148.5,10,1834.43,60.29,2011-08-01 00:00:00-04:00
10107.86,148.5,10,1817.86,64.71,2011-08-08 00:00:00-04:00
10107.86,148.5,10,1306.57,46.57,2011-08-15 00:00:00-04:00
10107.86,148.5,10,508.43,19,2011-08-22 00:00:00-04:00
10107.86,148.5,10,463.43,19.43,2011-08-29 00:00:00-04:00
10107.86,148.5,10,497.29,18.71,2011-09-05 00:00:00-04:00
10107.86,148.5,10,537.29,19.86,2011-09-12 00:00:00-04:00
10107.86,148.5,10,555.43,19.29,2011-09-19 00:00:00-04:00
10107.86,148.5,10,392.57,16.57,2011-09-26 00:00:00-04:00
10107.86,148.5,10,469,19.14,2011-10-03 00:00:00-04:00
10107.86,148.5,10,695.71,19.29,2011-10-10 00:00:00-04:00
10107.86,148.5,10,1041,17.14,2011-10-17 00:00:00-04:00
10107.86,148.5,10,886.86,18,2011-10-24 00:00:00-04:00
10107.86,148.5,10,673.29,14.57,2011-10-31 00:00:00-04:00
10107.86,148.5,10,909.29,18.29,2011-11-07 00:00:00-05:00
10107.86,148.5,10,662.14,14.43,2011-11-14 00:00:00-05:00
